STUDENT_ID,LOCATION,ZIP_CODE,ETHNICITY,SCIENCE_POINTS,TECHNOLOGY_POINTS,ENGINEERING_POINTS,ART_POINTS,MATH_POINTS,STEAM_POINTS,PROFILE
4001,ADJUNTAS,00601,Asian,16,23,49,4,91,,"Hi, I'm Alex! My passion for science drives me to conduct experiments and explore environmental research. I love applying the scientific method to understand the world around us."
4002,AGAWAM,01001,Caucasian,23,32,23,88,65,,"Hey there! I'm Emily, a tech enthusiast with a focus on artificial intelligence and machine learning. I'm determined to create smarter solutions that positively impact our daily lives."
4003,AMHERST,03031,Caucasian,43,8,99,13,68,,"Greetings! I'm Noah, an aspiring engineer fascinated by designing innovative structures and exploring the principles of technology. Building things and solving real-world problems excite me."
4004,AVON,06001,African American,73,23,39,18,59,,"Hello, I'm Ava! A digital artist at heart, I create visually appealing artwork using graphic design and multimedia techniques. Expressing emotions through art is my forte."
4005,AVENEL,07001,Caucasian,50,30,42,19,71,,"Hi, I'm Liam! A mathematician in the making, I find joy in solving complex problems and exploring the beauty of numbers. I enjoy unraveling mathematical mysteries."
4006,NEW YORK,10001,African American,2,43,42,49,83,,"Hey, I'm Isabella! Theater arts is my passion, and I enjoy bringing stories to life through acting and stage design. I believe the arts play a crucial role in expressing diverse perspectives."
4007,AMAWALK,10501,Asian,21,50,55,43,82,,"What's up! I'm Aiden, a coding enthusiast on a journey to explore the vast world of software development and programming. Creating efficient code is my forte."
4008,FLORAL PARK,11001,African American,30,26,40,24,56,,"Hi, I'm Sophia! Delving into the world of mathematics, I enjoy discovering the elegance and patterns within mathematical concepts. Numbers have a beauty of their own."
4009,ALIQUIPPA,15001,Caucasian,81,31,72,84,28,,"Greetings! I'm Jackson, an engineering aficionado interested in inventing and building, from robots to exciting tech projects. The process of turning ideas into reality fuels my curiosity."
4010,ALEPPO,15310,Hispanic,31,83,2,81,24,,"Hey, I'm Emma! Science captivates me, and I'm delving into genetics and molecular biology to understand the wonders of life. Exploring the building blocks of life is my goal."
4011,BETHLEHEM,18002,Caucasian,68,34,6,57,95,,"Hi there! I'm Daniel, a technology buff with a keen interest in coding and creating applications that make a positive impact. I believe technology can drive positive change in society."
4012,WASHINGTON,20001,African American,17,95,31,52,81,,"Hello, I'm Olivia! Expressing myself through various art forms, from traditional to digital, is my way of sharing creativity. Art has the power to evoke emotions and tell stories."
4013,ALDIE,20105,African American,88,19,82,71,92,,"Hey, I'm Ethan! A young tech explorer passionate about the wonders of virtual reality and creating immersive experiences. I believe VR has the potential to revolutionize how we experience the world."
4014,ADVANCE,27006,Caucasian,79,61,32,53,80,,"Hi, I'm Taylor! An aspiring mathematician, I love unraveling mathematical mysteries and solving intriguing puzzles. Math is not just a subject but a fascinating journey."
4015,ALCOLU,29001,Asian,70,55,63,37,64,,"Greetings! I'm Jordan, a science aficionado eager to explore the mysteries of astronomy and the vastness of the universe. The cosmos and its wonders captivate my imagination."
4016,AVONDALE ESTATES,30002,Caucasian,68,93,33,6,42,,"What's up! I'm Maya, a tech enthusiast diving into programming and software development to create meaningful solutions. Crafting software that solves real-world problems drives my passion."
4017,ORANGE PARK,32003,African American,70,80,18,56,83,,"Hey there! I'm Ryan, a future engineer intrigued by the principles of mechanical engineering and designing solutions. Creating efficient and innovative designs is my forte."
4018,ORLANDO,32801,Caucasian,25,29,7,36,30,,"Hi, I'm Lily! Exploring the world of arts, I express creativity through various mediums, from painting to digital art. Art allows me to convey unique perspectives and emotions."
4019,LONG KEY,33001,Caucasian,92,47,1,65,42,,"Greetings! I'm Oliver, a coding enthusiast exploring the world of artificial intelligence and machine learning. I believe in the potential of AI to transform industries and enhance efficiency."
4020,MOODY,35004,African American,87,70,90,85,98,,"Hello, I'm Zoey! A science lover on a mission to understand the intricacies of chemistry and the secrets of matter. Exploring the elements that make up our world fascinates me."
4021,ADAMS,37010,African American,44,64,47,11,87,,"Hey, I'm Caleb! A future mathematician delving into the beauty of number theory and solving challenging math problems. Numbers are not just symbols; they tell fascinating stories."
4022,ALEXANDRIA,43001,African American,65,20,28,8,94,,"Hi, I'm Mia! Aspiring to be an engineer, I find joy in designing structures and exploring sustainable solutions. Building a better, more sustainable future is my goal."
4023,BOWLING GREEN,43402,African American,94,63,83,81,92,,"What's up! I'm Logan, a tech enthusiast exploring the world of programming and software development. Coding allows me to bring innovative ideas to life."
4024,ALEXANDRIA,46001,African American,47,15,57,72,14,,"Hello, I'm Grace! An artist at heart, I enjoy expressing emotions through various artistic forms, from painting to digital creations. Art is my language of self-expression."
4025,ALGONAC,48001,Hispanic,91,79,80,8,27,,"Greetings! I'm Ethan, a mathematician exploring the elegance of mathematical concepts and their real-world applications. Math is the universal language that describes the world."
4026,SAGINAW,48601,African American,53,2,80,17,37,,"Hey there! I'm Lily, fascinated by the possibilities of virtual reality and creating immersive experiences for users. VR has the power to transport people to new and exciting places."
4027,MILO,50001,African American,18,94,11,20,82,,"Hi, I'm Oliver! An aspiring scientist, I love conducting experiments and exploring the fascinating world of biology. Studying life at the microscopic level is my passion."
4028,CLINTON,52727,Hispanic,40,11,53,7,92,,"Hello, I'm Zoey! A coding enthusiast diving into the world of machine learning and developing intelligent algorithms. Creating algorithms that learn and adapt intrigues me."
4029,ADELL,53001,Caucasian,52,59,78,40,25,,"Greetings! I'm Caleb, passionate about storytelling through various artistic forms, from writing to visual arts. Art and storytelling have the power to inspire and connect people."
4030,STODDARD,54658,African American,80,9,62,68,24,,"What's up! I'm Mia, a science enthusiast fascinated by physics and exploring the fundamental forces that shape our world. Understanding the laws of the universe drives my curiosity."
4031,ALEXANDER,58838,African American,75,34,31,81,80,,"Hey there! I'm Logan, an engineer in the making, eager to design solutions that contribute to environmental sustainability. Sustainability and innovation go hand in hand."
4032,ANTIOCH,60002,African American,92,90,39,50,82,,"Hi, I'm Grace! A tech enthusiast exploring the world of data science and utilizing data to gain valuable insights. Turning data into meaningful information is my goal."
4033,CHESTERFIELD,63005,African American,62,15,23,37,64,,"Greetings! I'm Dylan, a future mathematician intrigued by the mathematical concepts behind cryptography and data security. Securing information through mathematical principles fascinates me."
4034,METAIRIE,70001,African American,62,23,15,2,46,,"Hello, I'm Ava! An aspiring artist creating visually stunning digital art that reflects emotions and tells unique stories. Digital art allows me to experiment and push creative boundaries."
4035,PINE BLUFF,71601,Asian,44,79,62,51,42,,"Hey there! I'm Ethan, a tech explorer fascinated by the world of robotics and creating intelligent machines. Building robots that mimic human abilities is my ultimate goal."
4036,TEXARKANA,71854,Hispanic,54,43,37,70,73,,"Hi, I'm Lily! A science lover passionate about environmental conservation and studying the impact of human activities. Understanding and addressing environmental challenges drive my passion."
4037,TEMPLE,76501,Hispanic,82,42,43,91,33,,"What's up! I'm Oliver, an arts enthusiast expressing creativity through various forms, from traditional paintings to experimental art installations. Art is a limitless journey of exploration."
4038,HOUSTON,77001,African American,71,48,85,6,54,,"Hello, I'm Zoey! A coding enthusiast on a journey to create interactive educational games that make learning engaging. Making education fun and accessible is my mission."
4039,ANTHONY,79821,African American,40,31,57,40,41,,"Greetings! I'm Caleb, a budding scientist passionate about unraveling the intricate world of biology and life sciences. The complexity and diversity of life inspire my curiosity."
4040,ARVADA,80001,African American,27,22,20,4,7,,"Hey there! I'm Mia, an aspiring mathematician intrigued by the beauty of fractals and chaos theory. Finding order in chaos is a fascinating mathematical challenge."
4041,DESMET,83824,Asian,32,37,94,73,84,,"Hi, I'm Logan! Fascinated by aerospace technology, I enjoy building model rockets and exploring the principles of flight. The thrill of launching into the unknown drives my passion."
4042,ALTAMONT,84001,Asian,13,50,5,59,2,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Data-driven insights pave the way for informed choices."
4043,LOS ANGELES,90001,African American,38,75,65,78,25,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is a powerful medium for communication and expression."
4044,ALTADENA,91001,Hispanic,20,85,77,36,10,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Making learning fun and accessible through technology is my goal."
4045,AGOURA HILLS,91301,African American,100,42,78,79,86,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Decoding the genetic blueprint of life fascinates me."
4046,ALPINE,91901,Hispanic,80,73,25,82,2,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. The elegance and beauty of mathematical patterns captivate me."
4047,BELMONT,94002,African American,56,98,60,35,1,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. VR has the potential to revolutionize entertainment and education."
4048,ALAMEDA,94501,Hispanic,61,16,18,31,31,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the building blocks of the universe at the molecular level excites me."
4049,AIEA,96701,African American,87,7,15,100,56,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my way of communicating emotions and ideas."
4050,ANCHORAGE,99501,Caucasian,65,21,80,83,27,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning engaging and accessible through technology is my mission."
4051,ADJUNTAS,601,Asian,74,34,14,57,5,,"Hi, I'm Logan! A future engineer fascinated by aerospace technology, from building model rockets to exploring the principles of flight. Designing machines that defy gravity is my dream."
4052,AGAWAM,1001,Caucasian,90,91,70,45,92,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Harnessing the power of data for positive change is my goal."
4053,AMHERST,3031,African American,40,28,79,42,84,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is my canvas for exploring imagination and storytelling."
4054,AVON,6001,African American,52,90,65,30,21,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Bridging the gap between education and technology is my passion."
4055,AVENEL,7001,African American,69,96,21,11,1,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Unraveling the mysteries encoded in DNA is my quest."
4056,NEW YORK,10001,African American,39,11,85,47,47,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. Mathematics is my language for understanding the world."
4057,AMAWALK,10501,Caucasian,28,12,79,50,17,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. Using VR to transport people to new realms is my vision."
4058,FLORAL PARK,11001,African American,3,20,5,9,83,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the reactions that shape our world is my fascination."
4059,ALIQUIPPA,15001,African American,36,25,43,93,53,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my outlet for expressing emotions and ideas."
4060,ALEPPO,15310,Caucasian,17,8,18,26,50,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning a dynamic and enjoyable experience through technology is my mission."
4061,BETHLEHEM,18002,African American,81,18,36,87,71,,"Hi, I'm Logan! A future engineer fascinated by aerospace technology, from building model rockets to exploring the principles of flight. Designing aircraft that push the boundaries of innovation is my dream."
4062,WASHINGTON,20001,Asian,62,63,29,20,41,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Transforming raw data into valuable insights is my expertise."
4063,ALDIE,20105,Asian,79,13,8,11,60,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is my way of communicating complex emotions and ideas."
4064,ADVANCE,27006,Hispanic,86,74,21,6,67,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Bridging the gap between education and technology is my passion."
4065,ALCOLU,29001,Caucasian,57,51,62,55,26,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Decoding the secrets of life through DNA is my pursuit."
4066,AVONDALE ESTATES,30002,Caucasian,26,96,4,74,79,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. Mathematics is my key to understanding the structure of the universe."
4067,ORANGE PARK,32003,African American,65,93,3,46,45,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. Using VR to enhance education and entertainment is my vision."
4068,ORLANDO,32801,African American,6,26,77,85,68,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the reactions that shape our world is my fascination."
4069,LONG KEY,33001,African American,20,70,80,66,37,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my language for conveying complex emotions and ideas."
4070,MOODY,35004,Caucasian,8,22,1,40,22,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning a dynamic and enjoyable experience through technology is my mission."
4071,ADAMS,37010,African American,27,54,46,22,1,,"Hi, I'm Logan! A future engineer fascinated by aerospace technology, from building model rockets to exploring the principles of flight. Designing aircraft that push the boundaries of innovation is my dream."
4072,ALEXANDRIA,43001,African American,4,17,90,42,61,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Transforming raw data into valuable insights is my expertise."
4073,BOWLING GREEN,43402,Asian,89,53,37,2,55,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is my way of communicating complex emotions and ideas."
4074,ALEXANDRIA,46001,Caucasian,22,1,74,32,91,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Bridging the gap between education and technology is my passion."
4075,ALGONAC,48001,African American,93,13,17,81,9,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Decoding the secrets of life through DNA is my pursuit."
4076,SAGINAW,48601,African American,40,7,69,53,77,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. Mathematics is my key to understanding the structure of the universe."
4077,MILO,50001,African American,96,43,65,82,17,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. Using VR to enhance education and entertainment is my vision."
4078,CLINTON,52727,Hispanic,45,52,20,39,76,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the reactions that shape our world is my fascination."
4079,ADELL,53001,African American,58,76,34,87,22,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my language for conveying complex emotions and ideas."
4080,STODDARD,54658,Caucasian,89,12,35,93,6,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning a dynamic and enjoyable experience through technology is my mission."
4081,ALEXANDER,58838,African American,79,70,34,57,36,,"Hi, I'm Logan! A future engineer fascinated by aerospace technology, from building model rockets to exploring the principles of flight. Designing aircraft that push the boundaries of innovation is my dream."
4082,ANTIOCH,60002,African American,25,45,14,63,43,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Transforming raw data into valuable insights is my expertise."
4083,CHESTERFIELD,63005,African American,7,79,53,61,88,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is my way of communicating complex emotions and ideas."
4084,METAIRIE,70001,African American,99,68,28,26,65,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Bridging the gap between education and technology is my passion."
4085,PINE BLUFF,71601,Caucasian,82,50,8,13,93,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Decoding the secrets of life through DNA is my pursuit."
4086,TEXARKANA,71854,African American,99,22,44,88,21,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. Mathematics is my key to understanding the structure of the universe."
4087,TEMPLE,76501,Caucasian,31,55,4,91,40,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. Using VR to enhance education and entertainment is my vision."
4088,HOUSTON,77001,African American,40,45,25,85,58,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the reactions that shape our world is my fascination."
4089,ANTHONY,79821,Asian,18,92,34,84,58,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my language for conveying complex emotions and ideas."
4090,ARVADA,80001,African American,35,12,27,28,61,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning a dynamic and enjoyable experience through technology is my mission."
4091,DESMET,83824,African American,43,3,3,27,50,,"Hi, I'm Logan! A future engineer fascinated by aerospace technology, from building model rockets to exploring the principles of flight. Designing aircraft that push the boundaries of innovation is my dream."
4092,ALTAMONT,84001,African American,69,11,74,30,73,,"Hello, I'm Grace! A technology enthusiast exploring the world of data science and using data to make informed decisions. Transforming raw data into valuable insights is my expertise."
4093,LOS ANGELES,90001,Caucasian,49,39,11,28,46,,"Greetings! I'm Dylan, a young artist expressing myself through visual storytelling, from illustrations to graphic novels. Art is my way of communicating complex emotions and ideas."
4094,ALTADENA,91001,Caucasian,94,71,78,24,24,,"What's up! I'm Ava, a coding enthusiast on a mission to create interactive educational content for learners. Bridging the gap between education and technology is my passion."
4095,AGOURA HILLS,91301,Hispanic,28,100,37,26,81,,"Hey there! I'm Ethan, a science lover exploring bioinformatics and analyzing genetic data to understand life's complexities. Decoding the secrets of life through DNA is my pursuit."
4096,ALPINE,91901,African American,67,49,74,71,39,,"Hi, I'm Lily! Aspiring to be a mathematician, I find joy in number theory and solving challenging math puzzles. Mathematics is my key to understanding the structure of the universe."
4097,BELMONT,94002,Asian,26,30,28,62,100,,"Greetings! I'm Oliver, a tech enthusiast passionate about virtual reality and creating immersive experiences for users. Using VR to enhance education and entertainment is my vision."
4098,ALAMEDA,94501,African American,12,87,30,28,91,,"Hello, I'm Zoey! A budding scientist intrigued by chemistry, conducting experiments to unravel the secrets of matter. Exploring the reactions that shape our world is my fascination."
4099,AIEA,96701,African American,74,31,22,49,26,,"What's up! I'm Caleb, an arts lover expressing creativity through various artistic forms, from painting to digital art. Art is my language for conveying complex emotions and ideas."
4100,ANCHORAGE,99501,African American,17,41,93,81,77,,"Hey there! I'm Mia, a coding enthusiast on a journey to create interactive educational applications. Making learning a dynamic and enjoyable experience through technology is my mission."