Scenario,Variables,k,Inertia,Heatmap,Parallel Plot
,,,,,
Original,int_rate,4,414296.8695,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original,int_rate,5,367683.7569,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util,int_rate,5,519000.7251,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util,int_rate,4,571414.013,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths,int_rate,4,575843.8317,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths,int_rate,5,521536.0859,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + acc_now_delinq,int_rate,5,432084.773,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + acc_now_delinq,int_rate,4,496771.8828,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util + inq_last_6mths,int_rate,4,758207.2506,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,inq_last_6mths,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util + inq_last_6mths,int_rate,5,682498.2152,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,inq_last_6mths,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util + acc_now_delinq,int_rate,5,589055.5342,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util + acc_now_delinq,int_rate,4,677478.6593,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + bc_util + acc_now_delinq,int_rate,5,589055.5342,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,bc_util,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths + acc_now_delinq,int_rate,5,593646.1868,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths + acc_now_delinq,int_rate,4,691834.0355,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,acc_now_delinq,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths + acc_now_delinq +bc_util,int_rate,4,873180.9213,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,acc_now_delinq,,,,
,bc_util,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Original + inq_last_6mths + acc_now_delinq +bc_util,int_rate,5,775904.8907,,
,annual_inc,,,,
,loan_amount,,,,
,emp_length,,,,
,inq_last_6mths,,,,
,acc_now_delinq,,,,
,bc_util,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,