,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome,,,,
0,9000,9000,0.088037765,D,0,16.29,30000,25.04, 36 months,8225,84.8,1,100,71.98505103,FALSE,,1432600,44911.28649,0.031349495
1,10800,10800,-0.110021667,E,1,20.2,36000,24.83, 60 months,7020,70.2,2,90.5,112.0022998,TRUE,,,,
2,18000,18000,0.08000556,B,0,11.44,75000,17.98, 60 months,10547,26.4,1,92.7,162.0402883,FALSE,,,,
3,24000,24000,0.114209898,D,0,15.61,100000,15.35, 36 months,20190,72.4,1,84.2,265.9931415,FALSE,,,,
4,12000,12000,0.04709011,B,0,8.67,65000,8.59, 60 months,10831,40,0,100,44.02554467,FALSE,,,,
5,15000,15000,0.100209716,B,0,10.15,80000,22.77, 36 months,10568,38.9,1,97.5,125.0128339,FALSE,,,,
6,20000,20000,-0.0934875,B,1,10.99,57000,32.44, 36 months,23182,54,0,96,228.0128955,TRUE,,,,
7,11200,11200,0.120017623,E,0,18.99,57600,11.65, 60 months,8641,61,3,83,77.99749482,FALSE,,,,
8,12500,12500,0.051833137,A,0,7.49,50000,22.64, 36 months,15747,73.2,0,100,84.0099386,FALSE,,,,
9,19000,19000,0.134469324,D,0,16.99,39000,16.77, 60 months,10396,90.4,0,100,89.03673587,FALSE,,,,
10,12000,12000,0.038149442,A,0,6.03,127500,9.39, 36 months,12864,11.6,0,96.9,324.0148668,FALSE,,,,
11,18000,18000,0.064941786,B,0,11.99,55000,26.85, 36 months,10917,22.2,0,100,132.0109242,FALSE,,,,
12,15000,15000,0.124334882,B,0,11.67,65000,32.51, 36 months,15400,45.7,0,92.6,203.9959753,FALSE,,,,
13,10000,10000,0.097341378,D,0,16.99,38000,23.69, 36 months,9752,84.1,0,100,72.97069755,FALSE,,,,
14,8000,8000,0.11381355,C,0,13.35,37000,37.3, 36 months,3182,20.9,1,100,236.9822789,FALSE,,,,
15,29325,29325,-0.097363797,D,1,16.99,70000,22.46, 36 months,41490,80.4,1,100,226.0087476,TRUE,,,,
16,11000,11000,0.046917059,B,0,8.67,72000,6.46, 60 months,12188,16.4,4,100,407.9919506,FALSE,,,,
17,9000,9000,0.041249591,A,0,6.49,42000,8.49, 36 months,5316,45.4,1,91.3,163.9458716,FALSE,,,,
18,12800,12800,0.098299814,C,0,12.99,39000,16.58, 60 months,4638,59.5,0,87.5,119.9860367,FALSE,,,,
19,1500,1500,-0.2104,D,1,16.29,30114.12,24.63, 36 months,8421,76.6,0,100,55.03193084,TRUE,,,,
20,14000,14000,0.036868553,A,0,6.99,52000,10.5, 36 months,10202,41.6,0,100,65.0198156,FALSE,,,,
21,10000,10000,-0.036698,D,1,16.29,35000,13.1, 60 months,10869,47.3,1,100,228.9985421,TRUE,,,,
22,6000,6000,-0.085555556,C,1,13.35,60000,22.38, 36 months,11368,97.2,3,97.1,246.017372,TRUE,,,,
23,30000,30000,-0.0346284,B,1,11.99,80000,24.72, 60 months,36814,39.5,0,100,230.0170435,TRUE,,,,
24,6650,6650,0.093844836,C,0,14.99,48000,8.88, 36 months,3510,59.5,2,81.8,208.0042711,FALSE,,,,
25,20000,20000,0.080186749,C,0,14.31,84000,12.83, 60 months,14761,37.9,1,100,171.9953182,FALSE,,,,
26,10000,10000,-0.146886,C,1,12.99,47000,16.19, 36 months,1874,34,1,83,338.0110475,TRUE,,,,
27,1875,1875,0.129426337,C,0,12.39,69000,9.84, 36 months,994,99.4,0,92.3,157.013491,FALSE,,,,
28,21975,21975,-0.078670853,D,1,15.61,50000,30.96, 60 months,33615,50.5,1,100,180.0119099,TRUE,,,,
29,11400,11400,0.10308295,B,0,11.67,46000,23.19, 60 months,27947,84.9,0,100,336.0068995,FALSE,,,,
30,4000,4000,0.085816243,D,0,15.59,55000,28.43, 36 months,4119,30.3,0,84.6,149.0297542,FALSE,,,,
31,4800,4800,-0.124029167,D,1,15.59,23000,8.82, 36 months,5577,96.2,0,96.7,122.9758311,TRUE,,,,
32,11000,11000,0.110389512,C,0,14.49,58000,14.98, 60 months,7708,51.4,1,100,132.9965708,FALSE,,,,
33,14400,14400,0.129228449,C,0,14.99,48000,14.58, 60 months,8265,58.8,0,94.1,274.0097333,FALSE,,,,
34,10500,10500,0.095220764,B,0,12.49,42282,22.88, 36 months,12841,45.2,0,100,288.9915604,FALSE,,,,
35,14000,14000,0.107751428,C,0,14.49,35198.16,36.82, 60 months,7974,66.4,0,95.8,132.0109242,FALSE,,,,
36,24000,24000,-0.282259028,A,1,6.49,130000,10.75, 36 months,26413,87.2,0,100,153.9908417,TRUE,,,,
37,13000,13000,0.035985368,A,0,6.49,80000,5.69, 36 months,16610,33.1,1,100,171.9953182,FALSE,,,,
38,15000,15000,0.075942267,A,0,8.19,35000,26.44, 36 months,33531,47.6,0,100,516.0188094,FALSE,,,,
39,6400,6400,0.055793285,B,0,10.15,34000,25.05, 36 months,8610,60.2,2,100,72.97069755,FALSE,,,,
40,35000,35000,0.060610976,B,0,10.99,135000,18.34, 60 months,15171,16.8,0,100,249.992813,FALSE,,,,
41,10000,10000,0.03854511,A,0,6.49,35000,27.13, 36 months,11054,27.4,0,100,267.0116429,FALSE,,,,
42,20000,20000,-0.042702333,B,1,12.49,135000,7.95, 36 months,5008,91.1,0,87.5,228.0128955,TRUE,,,,
43,16000,16000,-0.04069,B,1,10.49,130000,11.34, 36 months,15603,53.4,1,100,209.0227725,TRUE,,,,
44,12000,12000,0.070163171,B,0,11.67,42000,27.29, 36 months,7423,79,3,89,64.0013142,FALSE,,,,
45,9600,9600,0.040423578,A,0,7.12,49000,18.03, 36 months,13612,42.4,0,87.5,250.9784595,FALSE,,,,
46,35000,35000,-0.098691257,D,1,17.57,140000,6.87, 60 months,21744,70.6,1,100,139.0418694,TRUE,,,,
47,30000,30000,0.073904354,C,0,12.99,91000,21.14, 60 months,24580,39.2,0,96.7,206.0001232,FALSE,,,,
48,14500,14500,-0.119579862,E,1,20.99,37000,24.61, 60 months,9497,55.2,0,95.2,144.0029569,TRUE,,,,
49,18000,18000,0.15531951,D,0,18.24,53560,9.25, 60 months,5108,47.3,0,100,286.9874125,FALSE,,,,
50,4750,4750,0.084864445,D,0,6,15000,20.64, 36 months,7863,61.9,0,100,62.98281279,FALSE,,,,
51,35000,35000,0.063171491,B,0,11.44,150000,20.32, 60 months,44320,84.9,0,100,453.9887883,FALSE,,,,
52,10450,10450,-0.05807177,B,1,11.44,42000,21.71, 36 months,9942,44.2,0,97.7,186.0572086,TRUE,,,,
53,7000,7000,-0.12111,E,1,20.99,42000,22.4, 36 months,7215,85.9,3,100,198.0163864,TRUE,,,,
54,20000,20000,0.070480421,C,0,12.99,57031,23.69, 36 months,18408,65.3,3,100,91.0408838,FALSE,,,,
55,14400,14400,0.08228336,C,0,14.49,90000,26.27, 60 months,33776,101.1,0,100,257.0237582,FALSE,,,,
56,12000,12000,-0.155297333,D,1,15.59,30000,18.84, 60 months,2935,97.8,0,85.7,203.0103288,TRUE,,,,
57,6300,6300,0.070760765,C,0,12.99,150000,17.68, 36 months,62664,95.5,0,100,291.0285632,FALSE,,,,
58,10000,10000,0.113215168,C,0,14.49,45000,23.73, 36 months,7276,59.6,1,100,140.9803076,FALSE,,,,
59,20000,20000,0.039874079,A,0,7.69,80000,23.74, 36 months,37313,30.6,0,98.2,372.0158525,FALSE,,,,
60,13000,13000,0.05766758,B,0,10.99,149000,4.39, 36 months,4872,35.6,4,97.3,307.0288918,FALSE,,,,
61,5000,5000,0.084438788,B,0,10.99,67000,19, 36 months,45743,69.3,0,100,374.0200004,FALSE,,,,
62,2500,2500,0.076403767,C,0,13.98,23900,25.06, 36 months,3649,65.2,1,100,228.9985421,FALSE,,,,
63,24000,24000,0.097455833,C,0,14.99,68000,33.07, 60 months,21982,39.4,1,100,169.9911702,FALSE,,,,
64,8000,8000,0.061597287,B,0,11.44,43000,13.82, 36 months,10738,49.9,0,100,83.02429208,FALSE,,,,
65,15000,15000,0.034271079,A,0,6.49,124000,14.55, 36 months,42015,30.9,0,96.6,327.0375162,FALSE,,,,
66,14000,14000,0.12807653,D,0,15.59,75000,17.55, 60 months,18066,41.6,0,96.2,377.0426497,FALSE,,,,
67,28000,28000,-0.136632738,A,1,7.49,70000,16.19, 36 months,45306,76.4,1,100,151.0339021,TRUE,,,,
68,11700,11700,0.08498235,C,0,12.99,40958.4,23.79, 36 months,17343,29.5,0,100,270.0014374,FALSE,,,,
69,20000,20000,0.067230848,C,0,12.39,82500,11.78, 36 months,17655,86.1,1,100,175.0179675,FALSE,,,,
70,1400,1400,0.088158149,D,0,15.99,20000,28.21, 36 months,1372,85.7,1,100,98.00611922,FALSE,,,,
71,22000,22000,0.140644957,E,0,18.99,55000,18.9, 60 months,5917,37.7,0,87.1,151.0339021,FALSE,,,,
72,20000,20000,-0.0629305,A,1,6.03,90000,17.55, 36 months,26722,97.5,0,100,219.0106573,TRUE,,,,
73,12000,12000,0.037708575,A,0,7.12,126000,13.23, 36 months,13009,74.3,0,92.6,130.9924228,FALSE,,,,
74,16000,16000,0.048569437,A,0,8.19,97000,29.1, 60 months,21087,52.2,0,90,251.9969609,FALSE,,,,
75,21000,21000,-0.033312698,B,1,11.99,55600,35.07, 36 months,23968,52.7,0,100,290.0100618,TRUE,,,,
76,18825,18825,0.090975189,C,0,14.49,45000,29.23, 36 months,22921,67.2,0,100,200.9733259,FALSE,,,,
77,17900,17900,0.080920432,C,0,14.31,56000,27.03, 60 months,19633,49.3,0,100,146.0071049,FALSE,,,,
78,25000,25000,0.107032544,D,0,17.86,80000,16.5, 60 months,22640,66.4,0,100,176.003614,FALSE,,,,
79,25000,25000,0.115497948,B,0,11.99,110244,26.32, 36 months,17110,51.2,1,100,120.9716832,FALSE,,,,
80,14400,14400,-0.201551157,B,1,9.17,41000,12.45, 36 months,10585,56,0,96.3,148.0112528,TRUE,,,,
81,18000,18000,-0.066577333,C,1,12.99,73000,23.52, 60 months,10082,22.1,2,97.7,157.9991376,TRUE,,,,
82,10000,10000,0.048980382,A,0,7.12,48000,29.15, 36 months,10934,28.3,0,100,279.0365305,FALSE,,,,
83,15000,15000,0.107088879,C,0,13.98,45000,19.71, 60 months,9530,52.2,0,93.3,157.9991376,FALSE,,,,
84,10000,10000,-0.182652667,F,1,23.99,44000,34.75, 36 months,15358,83,0,95.5,74.97484548,TRUE,,,,
85,12000,12000,-0.006798333,C,1,14.99,37000,18.13, 36 months,6845,76.1,0,97.9,156.9806362,TRUE,,,,
86,18500,18500,0.066156483,B,0,11.44,47400,18.13, 60 months,15978,61.7,0,85,228.0128955,FALSE,,,,
87,14000,14000,-0.19108881,B,1,11.44,53000,18.66, 36 months,18555,59.1,1,97.4,146.0071049,TRUE,,,,
88,23125,23125,0.140755435,D,0,17.57,55000,24.48, 60 months,6460,33.5,0,93.7,103.9528532,FALSE,,,,
89,22000,22000,0.14232979,D,0,17.57,50000,9.24, 60 months,3656,12.7,2,100,242.0090762,FALSE,,,,
90,14000,14000,0.11700082,D,0,16.99,39000,21.93, 60 months,5704,38.3,0,88,165.9828744,FALSE,,,,
91,9000,9000,0.119817711,C,0,13.35,55000,24.02, 36 months,8557,66.3,0,86.7,245.0317255,FALSE,,,,
92,9325,9325,0.191345477,E,0,20.99,52000,10.82, 36 months,3268,50.3,0,83.3,165.9828744,FALSE,,,,
93,15000,15000,0.047154278,A,0,8.19,60000,13.94, 36 months,13039,38.5,0,91.7,154.9764882,FALSE,,,,
94,1200,1200,0.236016801,F,0,22.99,20000,17.65, 36 months,10691,62.5,0,100,94.98346989,FALSE,,,,
95,6000,6000,0.043440201,A,0,8.19,50874.12,12.01, 36 months,4512,22.9,0,100,198.0492413,FALSE,,,,
96,7000,7000,0.156465891,E,0,18.54,25000,22.26, 36 months,8933,42.1,4,84.6,313.0084807,FALSE,,,,
97,7500,7500,0.070557348,C,0,12.99,65000,13.2, 36 months,19563,71.4,0,100,215.988008,FALSE,,,,
98,9100,9100,0.084701878,D,0,16.99,80000,17.78, 36 months,9547,59.7,0,84.6,163.9458716,FALSE,,,,
99,10000,10000,0.074389832,C,0,13.98,43350,29.65, 36 months,7337,41.2,1,94.7,88.01823446,FALSE,,,,